,Player,Age,mvp,G!,MP!,FG!,3P!,FT!,ORB!,DRB!,TRB!,AST!,STL!,BLK!,TOV!,PF!,PTS!,FG%!,3P%!,FT%!
58,Klay Thompson,26,False,1,3,3,3,4,4,4,4,5,5,5,4,7,3,7,2,5
59,Draymond Green,26,False,1,4,4,4,3,2,1,1,3,2,3,7,8,4,8,5,6
60,Andre Iguodala,33,False,1,5,5,5,6,4,5,5,4,3,2,5,3,5,4,4,8
61,Shaun Livingston,31,False,1,6,6,7,5,6,8,7,6,6,6,1,3,6,3,7,1
62,David West,36,False,1,7,7,7,8,6,6,6,7,8,3,2,2,7,1,7,7
63,Ian Clark,25,False,8,8,8,6,6,8,7,8,7,6,6,2,1,8,6,6,1
64,LeBron James,31,True,1,1,1,3,1,2,1,1,1,1,1,8,4,1,3,2,4
65,Kyrie Irving,23,False,1,2,2,2,1,4,5,5,2,2,3,7,6,2,4,1,2
66,J.R. Smith,30,False,1,3,4,1,6,7,6,6,3,3,4,3,8,3,5,3,6
67,Tristan Thompson,24,False,1,4,3,8,3,1,2,2,6,6,2,1,7,4,1,8,8
68,Kevin Love,27,False,7,6,5,4,4,4,3,3,4,5,4,6,3,5,6,5,5
69,Richard Jefferson,35,False,1,5,6,6,5,3,4,4,7,4,7,5,4,6,2,6,7
70,Iman Shumpert,25,False,1,7,7,5,8,6,7,7,8,7,4,4,2,7,7,4,1
71,Matthew Dellavedova,25,False,7,8,8,6,7,7,8,8,5,8,8,1,1,8,8,6,3
72,Stephen Curry,26,False,1,1,1,1,2,5,3,4,1,2,7,8,4,1,5,4,3
73,Andre Iguodala,31,True,1,3,2,2,4,4,2,2,3,3,5,5,6,2,1,3,8
74,Klay Thompson,24,False,1,2,3,3,3,7,4,5,5,5,2,4,7,3,6,5,2
75,Draymond Green,24,False,1,3,4,5,1,2,1,1,2,1,1,7,8,4,7,6,6
76,Harrison Barnes,22,False,1,5,5,4,6,1,5,2,6,4,3,1,5,5,8,2,4
77,Leandro Barbosa,32,False,1,7,6,6,8,7,8,8,7,5,7,1,1,6,4,1,1
78,Shaun Livingston,29,False,1,6,6,7,7,5,6,6,4,7,5,5,3,7,2,7,5
79,Festus Ezeli,25,False,8,8,8,7,5,3,7,7,8,8,3,1,2,8,3,7,7
80,Tony Parker,31,False,1,1,1,5,3,7,8,8,2,4,7,6,3,1,7,4,4
81,Kawhi Leonard,22,True,1,3,2,2,2,3,3,3,4,2,1,5,8,2,2,1,2
82,Tim Duncan,37,False,1,4,3,7,1,1,1,1,4,7,2,7,5,3,3,7,6
83,Manu GinÃ³bili,36,False,1,5,4,3,4,7,4,5,3,3,5,7,7,4,6,4,1
84,Patty Mills,25,False,1,8,5,1,8,6,7,7,7,7,7,1,1,5,4,2,8
85,Danny Green,26,False,1,6,6,4,7,5,6,6,8,1,4,2,6,6,5,3,4
86,Boris Diaw,31,False,1,1,7,6,6,2,2,2,1,4,5,4,1,7,8,6,7
87,Tiago Splitter,29,False,1,7,7,7,5,4,5,4,4,6,3,2,3,7,1,7,3
88,LeBron James,28,True,1,1,1,2,1,2,1,1,1,1,3,7,1,1,6,5,3
89,Dwyane Wade,31,False,1,2,2,6,2,3,3,3,2,2,2,6,1,2,4,6,4
90,Chris Bosh,28,False,1,3,3,6,4,1,2,2,3,2,1,4,8,3,5,6,5
91,Ray Allen,37,False,1,5,5,2,3,5,6,6,5,7,7,5,6,4,3,2,2
92,Mario Chalmers,26,False,1,4,4,1,5,8,4,4,3,4,7,7,6,4,8,4,6
93,Shane Battier,34,False,1,7,7,2,7,5,7,8,6,7,5,1,1,6,7,3,1
94,Mike Miller,32,False,1,6,6,5,8,5,5,4,6,5,5,2,5,7,2,1,8
95,Chris Andersen,34,False,8,8,8,6,6,4,7,7,8,5,4,3,4,8,1,6,7
96,LeBron James,27,True,1,1,1,4,1,1,1,1,1,2,3,8,4,1,3,7,5
97,Dwyane Wade,30,False,1,2,2,6,2,4,3,3,2,3,1,7,7,2,6,4,6
98,Chris Bosh,27,False,1,4,3,6,3,1,2,2,7,5,1,4,2,3,4,4,2
99,Shane Battier,33,False,1,3,4,1,6,5,4,5,4,4,7,2,8,4,1,2,7
100,Mario Chalmers,25,False,1,4,4,2,4,6,6,6,3,1,3,6,6,5,5,6,3
101,Mike Miller,31,False,1,7,6,3,4,6,7,7,4,6,6,1,2,6,2,1,1
102,Norris Cole,23,False,8,7,7,4,8,8,8,8,8,7,7,2,1,7,8,3,8
103,Udonis Haslem,31,False,1,6,8,8,6,3,5,4,4,7,3,4,5,7,7,8,4
